,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
0,uttar pradesh,agra,1430055,238875000.0,240928.0,14818.0,54261,34924824.0,685.6,19939223.0,0.0,0.0,287.53,1013.32,68.55,2.23,0.01,14.88,241.62,16608.0,1469.0,121.25806451612904,0.0,Moderate
1,gujarat,ahmedabad,3719710,72653000.0,196244.0,14926.0,450099,26836981.0,518.3,6839415.0,36727.0,553.92,292.63,1015.09,55.86,2.43,0.0,9.51,252.54,15592.0,7990.72,133.48387096774192,0.0,Moderate
2,mizoram,aizawl,265331,1252000.0,21081.0,17820.0,,267350.0,71.0,41787.0,4.0,0.0,287.19,991.66,76.38,1.07,0.02,23.92,172.62,0.0,0.0,43.275862068965516,0.06451612903225806,Good
3,rajasthan,ajmer,517911,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.02,997.69,51.28,2.29,0.01,11.37,265.92,4955.0,856.8,111.7741935483871,0.0,Moderate
4,maharashtra,akola,428857,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,294.22,999.9,48.98,2.29,0.01,15.32,243.0,16750.0,3460.0,135.19354838709677,0.0,Moderate
5,rajasthan,alwar,283228,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,286.71,1005.53,62.25,1.9,0.02,16.11,236.85,4955.0,856.8,123.6774193548387,0.0,Moderate
6,andhra pradesh,amaravati,,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,296.9,1015.39,74.81,1.93,0.01,26.18,105.77,11275.0,7508.2,139.52,0.1935483870967742,Moderate
7,haryana,ambala,146787,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,285.6,999.96,67.13,2.5,0.04,25.8,200.46,4065.0,430.0,113.10714285714286,0.0967741935483871,Moderate
8,maharashtra,amravati,603837,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,293.94,1002.7,51.59,2.31,0.02,15.38,237.62,16750.0,3460.0,142.16129032258064,0.0,Moderate
9,punjab,amritsar,1092450,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,284.29,1014.68,72.58,1.92,0.02,36.81,139.08,3320.0,0.0,147.38709677419354,0.0,Moderate
10,andhra pradesh,anantapur,240442,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,296.6,991.11,60.54,3.3,0.01,30.48,168.92,11275.0,7508.2,76.92857142857143,0.0967741935483871,Satisfactory
11,odisha,angul,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,11852.5,0.0,295.9310344827586,0.06451612903225806,Poor
12,gujarat,ankleshwar,,72653000.0,196244.0,14926.0,,26836981.0,518.3,6839415.0,36727.0,553.92,294.84,1015.98,51.62,2.87,0.0,8.92,264.38,15592.0,7990.72,129.3,0.03225806451612903,Moderate
13,bihar,araria,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.91,1019.37,66.01,2.57,0.21,20.1,226.46,10040.0,0.0,282.5925925925926,0.12903225806451613,Poor
14,tamil nadu,ariyalur,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,299.01,1014.51,76.97,2.98,0.01,33.31,29.62,12160.0,1013.49,49.75,0.22580645161290322,Good
15,bihar,arrah,223676,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.09,1016.37,71.95,2.19,0.2,25.93,165.38,10040.0,0.0,309.6296296296296,0.12903225806451613,Very Poor
16,west bengal,asansol,504271,99723000.0,88752.0,16832.0,,10915952.0,600.6,10188842.0,0.0,65.66,292.0,1013.9,59.68,2.45,0.05,22.06,195.46,12145.0,80.0,223.7741935483871,0.0,Poor
