,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in State,Framing Area (Th. Ha. in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,aqi,missing_aqi,capacity_coal,capacity_gas
1,andhra pradesh,anantapur,240442.0,53402000.0,162968.0,29784.0,13108491.0,35.13,16967754.0,0.0,175.18,296.57,990.04,60.61,3.27,0.01,29.93,166.0,76.92857142857143,0.0967741935483871,11275.0,7508.2
5,andhra pradesh,tirupati,250821.0,53402000.0,162968.0,29784.0,13108491.0,35.13,16967754.0,0.0,175.18,295.39,998.49,76.42,1.98,0.01,28.68,87.92,65.61290322580645,0.0,11275.0,7508.2
6,andhra pradesh,vijayawada,874587.0,53402000.0,162968.0,29784.0,13108491.0,35.13,16967754.0,0.0,175.18,296.89,1015.44,74.87,1.93,0.01,25.91,101.85,76.33333333333333,0.5161290322580645,11275.0,7508.2
7,andhra pradesh,visakhapatnam,1063178.0,53402000.0,162968.0,29784.0,13108491.0,35.13,16967754.0,0.0,175.18,296.65,1016.07,77.01,2.58,0.0,22.71,134.31,193.6071428571429,0.0967741935483871,11275.0,7508.2
10,assam,guwahati,899094.0,36159000.0,78438.0,28312.0,4358529.0,35.05,1845346.0,6425.0,0.0,290.22,1013.45,79.79,1.5,0.01,35.12,85.69,263.4516129032258,0.0,0.0,479.2
13,assam,silchar,152393.0,36159000.0,78438.0,28312.0,4358529.0,35.05,1845346.0,6425.0,0.0,289.7,1008.65,73.45,1.29,0.08,21.58,213.38,49.2962962962963,0.1290322580645161,0.0,479.2
16,bihar,arrah,223676.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,288.05,1016.37,72.82,2.17,0.21,26.04,155.92,309.6296296296296,0.1290322580645161,10040.0,0.0
18,bihar,bettiah,127008.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,288.7,1016.61,67.12,2.23,0.08,21.01,197.62,89.94736842105263,0.3870967741935484,10040.0,0.0
19,bihar,bhagalpur,361548.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,289.06,1018.95,66.67,2.51,0.07,20.21,218.85,360.5,0.032258064516129,10040.0,0.0
24,bihar,gaya,423692.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,288.41,1013.66,71.86,2.14,0.07,28.0,156.46,217.06451612903223,0.0,10040.0,0.0
25,bihar,hajipur,133606.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,287.92,1016.5,81.16,1.9,0.15,31.71,120.0,200.96153846153845,0.1612903225806451,10040.0,0.0
26,bihar,katihar,192555.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,289.85,1018.81,66.26,2.59,0.22,19.64,215.15,201.17857142857144,0.0967741935483871,10040.0,0.0
31,bihar,muzaffarpur,333200.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,288.28,1016.9,71.95,2.31,0.82,26.76,153.62,249.48387096774192,0.0,10040.0,0.0
32,bihar,patna,1599920.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,287.93,1017.06,81.31,1.89,0.16,32.26,118.62,283.7096774193548,0.0,10040.0,0.0
33,bihar,purnia,198453.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,289.85,1019.54,66.77,2.58,0.21,19.9,215.77,222.6,0.032258064516129,10040.0,0.0
35,bihar,saharsa,145764.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,289.15,1019.41,67.93,2.59,0.22,20.31,198.0,335.2413793103448,0.064516129032258,10040.0,0.0
38,bihar,siwan,119181.0,129205000.0,94163.0,7381.0,9903889.0,54.63,18345649.0,6345.0,0.0,288.56,1018.2,69.33,2.43,0.08,20.64,198.0,165.17857142857142,0.0967741935483871,10040.0,0.0
39,chandigarh,chandigarh,960787.0,1247000.0,114.0,22.88,1058857.0,12.74,1687.0,423.0,0.0,285.46,997.8,68.14,2.29,0.04,25.8,190.38,289.2258064516129,0.0,0.0,0.0
46,chhattisgarh,raipur,679995.0,30638000.0,135192.0,55717.0,6986219.0,32.5,5091882.0,5103.0,0.0,292.97,1004.17,61.2,1.84,0.01,15.77,199.0,99.80645161290325,0.0,17795.0,0.0
48,delhi,delhi,10927986.0,21884000.0,1483.0,195.0,11892877.0,13.31,39475.0,0.0,0.0,286.2,1015.52,80.63,2.32,0.01,29.83,136.46,354.83870967741933,0.0,0.0,2208.4
50,gujarat,ahmedabad,3719710.0,72653000.0,196244.0,14926.0,26836981.0,51.83,6839415.0,36727.0,553.92,292.6,1015.1,56.0,2.4,0.0,9.74,239.0,133.48387096774192,0.0,15592.0,7990.72
52,gujarat,gandhinagar,195985.0,72653000.0,196244.0,14926.0,26836981.0,51.83,6839415.0,36727.0,553.92,292.53,1015.03,56.12,2.37,0.0,10.69,224.15,106.3225806451613,0.0,15592.0,7990.72
54,gujarat,surat,2894504.0,72653000.0,196244.0,14926.0,26836981.0,51.83,6839415.0,36727.0,553.92,295.91,1018.0,66.37,3.55,0.0,8.41,251.85,69.09677419354838,0.0,15592.0,7990.72
57,haryana,ambala,146787.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,285.51,999.13,68.01,2.48,0.04,25.36,193.62,113.10714285714286,0.0967741935483871,4065.0,430.0
58,haryana,bahadurgarh,153613.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.24,1016.28,70.97,2.34,0.01,26.23,154.69,255.0,0.0,4065.0,430.0
