,Name,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
0,Vindhyachal Super Thermal Power Station[15],Vindhya Nagar,Singrauli,Madhya Pradesh,Western,24°05′53″N 82°40′18″E﻿ / ﻿24.09806°N 82.67167°E﻿ / 24.09806; 82.67167﻿ (Vindhyachal Super Thermal Power Station),"6 x 210, 7x 500","4,760",NTPC,Central
1,Mundra Thermal Power Station,Mundra,Kutch,Gujarat,Western,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E﻿ / 22.82278; 69.55278﻿ (Mundra Thermal Power Station),"4 x 330, 5 X 660","4,620",Adani Power,Private
2,Mundra Ultra Mega Power Project[16],Mundra,Kutch,Gujarat,Western,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E﻿ / 22.82278; 69.55278﻿ (Mundra Ultra Mega Power Project),5 X 800,"4,000",Tata Power,Private
3,Sasan Ultra Mega Power Project,Sasan,Singrauli,Madhya Pradesh,Western,,6 x 660,"3,960",Reliance Power,Private
4,KSK Mahanadi Power Project,Nariyara,Janjgir–Champa district,Chhattisgarh,Western,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E﻿ / 22.82278; 69.55278﻿ (KSK Mahanadi Power Company Limited),6 X 600,"3,600",KSK Energy Ventures,Private
5,Jindal Tamnar Thermal Power Plant,Tamnar,Raigarh,Chhattisgarh,Western,22°06′16″N 83°27′04″E﻿ / ﻿22.10444°N 83.45111°E﻿ / 22.10444; 83.45111﻿ (Jindal Megha Power Plant),"4 x 250, 4 x 600","3,400",JSPL,Private
6,Chandrapur Super Thermal Power Station,Urjanagar,Chandrapur,Maharashtra,Western,20°00′24″N 79°17′21″E﻿ / ﻿20.00667°N 79.28917°E﻿ / 20.00667; 79.28917﻿ (Chandrapur Super Thermal Power Station),"2 x 210$, 4 x 210, 5 x 500","3,340",MSPGCL (MAHAGENCO),State
7,Tirora Thermal Power Station[17],Tirora,Gondia,Maharashtra,Western,21°24′58″N 79°58′3″E﻿ / ﻿21.41611°N 79.96750°E﻿ / 21.41611; 79.96750﻿ (Tirora Thermal Power Station),5 X 660,"3,300",Adani Power,Private
8,Sipat Thermal Power Plant,Sipat,Bilaspur,Chhattisgarh,Western,22°07′57″N 82°17′24″E﻿ / ﻿22.13250°N 82.29000°E﻿ / 22.13250; 82.29000﻿ (Sipat Thermal Power Plant),"2 x 500,3 x 660","2,980",NTPC,Central
9,RKM Powergen Thermal Power Plant,Dhobnipali,Shakti,Chhattisgarh,Western,,4×360,1440,R. K. M Powergen Private Limited,Private
