,Power station,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
0,Dabhol Power Station,Anganvel,Ratnagiri,Maharashtra,Western,17°33′35″N 73°09′59″E﻿ / ﻿17.55972°N 73.16639°E﻿ / 17.55972; 73.16639﻿ (Ratnagiri Gas Turbine Power Station),"1 x 740, 1 x 740, 1 x 740","2,220",RGPPL,Central
1,SUGEN Combined Cycle Power Plant,Akhakhol,Surat,Gujarat,Western,,3 x 382.5,"1,147.5",Torrent,Private
2,Uran Gas Turbine Power Station,Bokadvira,Raigarh,Maharashtra,Western,18°52′55″N 72°58′13″E﻿ / ﻿18.88194°N 72.97028°E﻿ / 18.88194; 72.97028﻿ (Uran Gas Turbine Power Station),"4 x 108, 2 x 120",672,MSPGCL (MAHAGENCO),State
3,Pioneer Power CCPP,,,Maharashtra,Western,,1 x 388,388,,Private
4,GPEC Combined Cycle Power Plant,Paguthan,Bharuch,Gujarat,Western,21°46′49″N 72°58′46″E﻿ / ﻿21.78028°N 72.97944°E﻿ / 21.78028; 72.97944﻿ (GPEC Combined Cycle Power Plant),"3 x 135, 1 x 250",655,CLP Group,Private
5,Jhanor-Gandhar TPS,Urjanagar,Bharuch,Gujarat,Western,21°46′48″N 72°58′45″E﻿ / ﻿21.78000°N 72.97917°E﻿ / 21.78000; 72.97917﻿ (Jhanor-Gandhar TPS),"3 x 131, 1 x 255",648,NTPC,Central
6,Kawas TPS,Adityanagar,Surat,Gujarat,Western,21°10′33″N 72°41′14″E﻿ / ﻿21.17583°N 72.68722°E﻿ / 21.17583; 72.68722﻿ (Kawas TPS),"4 x 106, 2 x 110.5",645,NTPC,Central
7,Essar Combined Cycle Power Plant,Hazira,Surat,Gujarat,Western,21°06′39″N 72°39′19″E﻿ / ﻿21.11083°N 72.65528°E﻿ / 21.11083; 72.65528﻿ (Essar Combined Cycle Power Plant),"3 x 110, 1 x 185",515,Essar Power Limited,Private
8,Utran Gas Based Power Station,Utran,Surat,Gujarat,Western,21°13′44″N 72°52′14″E﻿ / ﻿21.22889°N 72.87056°E﻿ / 21.22889; 72.87056﻿ (Utran Gas Based CCPP),"3 x 30$, 1 x 45$, 1 x 228, 1 x 155",383,GSECL,State
9,Vadodara Gas Based CCPP,Vadodara,Vadodara,Gujarat,Western,,"1 x 111, 1 x 54, 1 x 49, 3 x 32",310,GIPCL,State
10,Dhuvaran Gas Based CCPP,Khambhat,Anand,Gujarat,Western,22°14′24″N 72°45′09″E﻿ / ﻿22.24000°N 72.75250°E﻿ / 22.24000; 72.75250﻿ (Dhuvaran Gas Based CCPP),"1 x 72.51, 1 x 67.85, 1 x 39.94, 1 x 38.77, 1 x 285.65",594.72,GSECL,State
11,Trombay Gas Power Station,Trombay,Mumbai,Maharashtra,Western,19°00′12″N 72°54′14″E﻿ / ﻿19.00333°N 72.90389°E﻿ / 19.00333; 72.90389﻿ (Trombay Gas Power Station),"1 x 120, 1 x 60",180,Tata,Private
12,GSEG Combined Cycle Power Plant,Hazira,Surat,Gujarat,Western,21°09′57″N 72°42′16″E﻿ / ﻿21.16583°N 72.70444°E﻿ / 21.16583; 72.70444﻿ (GSEG Combined Cycle Power Plant),3 x 52,156,GSEG,Private
13,Vatva Combined Cycle Power Plant,Vatva,Ahamadabad,Gujarat,Western,Retired,"2 x 32.5, 1 x 35",,Torrent Power,Private
14,Pipavav Combined Cycle Power Plant,Pipavav,Amreli,Gujarat,Western,,2 x 352,702,GSPC,state
15,Hazira CCPP,Hazira,Surat,Gujarat,Western,,"1 x 156, 1 x 351",507,,State
16,D-Gen Mega,,,Gujarat,Western,,1 x 1200,1200,,Private
17,G - IPCL,,,Gujarat,Western,,1 x 145,145,,Private
18,Unosugen CCPP,Dahej,,Gujarat,Western,,1 x 382.5,382.5,Torrent,Private
