,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
0,naharlagun,288.9,1011.15,71.49,1.42,0.02,32.07,98.92,27.103045,93.6923923
1,srinagar,271.44,911.92,70.46,0.96,0.01,45.45,115.46,34.0747444,74.8204443
2,chittoor,295.67,1001.66,74.45,2.29,0.02,36.89,127.38,13.2161224,79.0972819
3,kadapa,296.25,1003.44,71.12,2.44,0.01,29.62,120.38,14.4752936,78.8216861
4,anantapur,296.6,991.11,60.54,3.3,0.01,30.48,168.92,14.6783221,77.6065039
5,visakhapatnam,296.64,1016.02,76.74,2.59,0.0,23.01,135.15,17.7231276,83.3012842
6,amaravati,296.9,1015.39,74.81,1.93,0.01,26.18,105.77,16.5096679,80.5184535
7,vijayawada,296.9,1015.39,74.81,1.93,0.01,26.18,105.77,16.5087573,80.6185089
8,rajamahendravaram,296.99,1017.72,73.02,2.62,0.01,20.0,160.23,17.0050454,81.7804732
9,tirupati,295.38,999.21,76.58,2.01,0.01,29.48,88.54,13.6316368,79.4231711
10,hyderabad,295.4,1012.11,63.47,2.55,0.01,24.22,138.0,17.360589,78.4740613
11,imphal,285.91,979.98,75.18,1.25,0.01,26.22,92.31,24.7991162,93.9364419
12,mandideep,289.48,1001.14,62.48,2.28,0.01,16.54,219.62,23.0965633,77.5144525
13,satna,288.9,1002.52,63.14,1.93,0.04,17.87,216.54,24.5751308,80.8325721
14,bhopal,289.48,1001.14,62.48,2.28,0.01,16.54,219.62,23.2584857,77.401989
15,ratlam,290.39,994.53,53.49,2.94,0.0,10.42,256.31,23.3311044,75.0360846
16,gwalior,287.84,1010.77,64.53,2.05,0.01,14.95,225.62,26.2037247,78.1573628
17,katni,289.15,996.43,59.24,1.95,0.02,15.54,245.46,23.8339621,80.392456
18,maihar,288.9,1002.52,63.14,1.93,0.04,17.87,216.54,24.260444,80.7592749
19,damoh,289.41,1000.72,59.4,2.08,0.03,15.07,245.0,23.8395678,79.4444361
20,dewas,290.21,1000.62,55.71,2.54,0.01,12.31,244.15,22.96363,76.054867
21,jabalpur,289.63,1001.01,63.01,2.08,0.01,16.84,219.15,23.1608938,79.9497702
22,ujjain,290.26,997.68,55.77,2.55,0.01,11.97,243.31,23.1885131,75.7716562
23,sagar,289.07,994.14,59.31,2.2,0.01,14.68,246.62,23.8417793,78.7466817
24,singrauli,288.77,1002.76,65.16,1.8,0.03,22.17,210.69,24.1974432,82.6661453
25,pithampur,290.4,996.88,59.84,2.46,0.0,12.72,230.38,22.6105576,75.6790283
26,indore,290.4,996.88,59.84,2.46,0.0,12.72,230.38,22.7203616,75.8681996
27,ambala,285.6,999.96,67.13,2.5,0.04,25.8,200.46,30.3843674,76.770421
28,sirsa,286.78,1011.47,61.01,2.17,0.01,20.74,216.15,29.5372849,75.0377649
29,palwal,286.9,1013.87,70.12,2.45,0.01,22.05,191.23,28.1405741,77.3259802
30,kurukshetra,285.92,1008.3,70.6,2.67,0.03,24.4,205.15,29.9693747,76.8482787
31,ballabgarh,286.29,1015.61,69.65,2.33,0.01,25.56,170.08,28.3302,77.31651
32,manesar,286.26,1015.53,80.44,2.29,0.01,30.27,145.92,28.32470955,76.92637867182586
33,narnaul,286.7,1012.12,68.42,2.29,0.01,22.34,188.62,28.0438456,76.1062015
34,gurugram,286.26,1015.53,80.44,2.29,0.01,30.27,145.92,28.4646148,77.0299194
35,karnal,286.15,1009.33,70.88,2.62,0.02,22.85,211.31,29.6803266,76.9896254
36,bahadurgarh,286.25,1016.34,69.86,2.33,0.01,25.97,165.31,28.6933239,76.9332373
37,rohtak,286.51,1016.01,59.14,2.24,0.01,26.29,86.5,28.9010899,76.5801935
